x,y
5.318269999999999982e+02,5.265890000000000555e+02
5.265890000000000555e+02,5.222430000000000518e+02
5.222430000000000518e+02,5.424729999999999563e+02
5.424729999999999563e+02,6.920869999999999891e+02
6.920869999999999891e+02,8.527259999999999991e+02
8.527259999999999991e+02,9.181259999999999764e+02
9.181259999999999764e+02,9.507749999999999773e+02
9.507749999999999773e+02,9.864439999999999600e+02
9.864439999999999600e+02,1.028063000000000102e+03
1.028063000000000102e+03,1.111300999999999931e+03
1.111300999999999931e+03,1.277776000000000067e+03
1.277776000000000067e+03,1.610728000000000065e+03
1.610728000000000065e+03,1.667366999999999962e+03
1.667366999999999962e+03,1.680122000000000071e+03
1.680122000000000071e+03,1.692051999999999907e+03
1.692051999999999907e+03,1.715578999999999951e+03
1.715578999999999951e+03,1.748872000000000071e+03
1.748872000000000071e+03,1.817119999999999891e+03
1.817119999999999891e+03,1.850412000000000035e+03
1.850412000000000035e+03,1.882960000000000036e+03
1.882960000000000036e+03,1.872270999999999958e+03
1.872270999999999958e+03,1.830729000000000042e+03
1.830729000000000042e+03,1.747645999999999958e+03
1.747645999999999958e+03,1.581480999999999995e+03
1.581480999999999995e+03,1.303012999999999920e+03
1.303012999999999920e+03,1.302133000000000038e+03
1.302133000000000038e+03,1.302232999999999947e+03
1.302232999999999947e+03,1.302248000000000047e+03
1.302248000000000047e+03,1.291237000000000080e+03
1.291237000000000080e+03,1.274515000000000100e+03
1.274515000000000100e+03,1.269421000000000049e+03
1.269421000000000049e+03,1.262413000000000011e+03
1.262413000000000011e+03,1.267987000000000080e+03
1.267987000000000080e+03,1.277849999999999909e+03
1.277849999999999909e+03,1.293809999999999945e+03
1.293809999999999945e+03,1.301242999999999938e+03
1.301242999999999938e+03,1.310542999999999893e+03
1.310542999999999893e+03,1.310442999999999984e+03
1.310442999999999984e+03,1.307881000000000085e+03
1.307881000000000085e+03,1.337741999999999962e+03
1.337741999999999962e+03,1.379355999999999995e+03
1.379355999999999995e+03,1.462582000000000107e+03
1.462582000000000107e+03,1.629036000000000058e+03
1.629036000000000058e+03,1.750546000000000049e+03
1.750546000000000049e+03,1.812133000000000038e+03
1.812133000000000038e+03,1.842095000000000027e+03
1.842095000000000027e+03,1.859603000000000065e+03
1.859603000000000065e+03,1.859242999999999938e+03
1.859242999999999938e+03,1.856742999999999938e+03
1.856742999999999938e+03,1.858333000000000084e+03
1.858333000000000084e+03,1.860012999999999920e+03
1.860012999999999920e+03,1.874262999999999920e+03
1.874262999999999920e+03,1.874303000000000111e+03
1.874303000000000111e+03,1.878002999999999929e+03
1.878002999999999929e+03,1.888272999999999911e+03
1.888272999999999911e+03,1.890262999999999920e+03
1.890262999999999920e+03,1.899492999999999938e+03
1.899492999999999938e+03,1.902262999999999920e+03
1.902262999999999920e+03,1.902282999999999902e+03
1.902282999999999902e+03,1.915712999999999965e+03
1.915712999999999965e+03,1.915063000000000102e+03
1.915063000000000102e+03,1.898939000000000078e+03
1.898939000000000078e+03,1.891680000000000064e+03
1.891680000000000064e+03,1.890063000000000102e+03
1.890063000000000102e+03,1.885635999999999967e+03
1.885635999999999967e+03,1.884306000000000040e+03
1.884306000000000040e+03,1.888768000000000029e+03
1.888768000000000029e+03,1.888394000000000005e+03
1.888394000000000005e+03,1.876794000000000096e+03
1.876794000000000096e+03,1.877548000000000002e+03
1.877548000000000002e+03,1.872053000000000111e+03
1.872053000000000111e+03,1.879474999999999909e+03
1.879474999999999909e+03,1.889121000000000095e+03
1.889121000000000095e+03,1.891222999999999956e+03
1.891222999999999956e+03,1.887073000000000093e+03
1.887073000000000093e+03,1.885262999999999920e+03
1.885262999999999920e+03,1.885303000000000111e+03
1.885303000000000111e+03,1.889123000000000047e+03
1.889123000000000047e+03,1.889292999999999893e+03
1.889292999999999893e+03,1.890611000000000104e+03
1.890611000000000104e+03,1.886056000000000040e+03
1.886056000000000040e+03,1.869816000000000031e+03
1.869816000000000031e+03,1.838585000000000036e+03
1.838585000000000036e+03,1.776123000000000047e+03
1.776123000000000047e+03,1.651200000000000045e+03
1.651200000000000045e+03,1.571249000000000024e+03
1.571249000000000024e+03,1.493093000000000075e+03
1.493093000000000075e+03,1.492982999999999947e+03
1.492982999999999947e+03,1.492032999999999902e+03
1.492032999999999902e+03,1.491502999999999929e+03
1.491502999999999929e+03,1.491083000000000084e+03
1.491083000000000084e+03,1.490462999999999965e+03
1.490462999999999965e+03,1.490042999999999893e+03
1.490042999999999893e+03,1.490282999999999902e+03
1.490282999999999902e+03,1.489262999999999920e+03
1.489262999999999920e+03,1.488992999999999938e+03
1.488992999999999938e+03,1.489673000000000002e+03
1.489673000000000002e+03,1.489212999999999965e+03
1.489212999999999965e+03,1.488413000000000011e+03
1.488413000000000011e+03,1.488502999999999929e+03
1.488502999999999929e+03,1.488042999999999893e+03
